"","UBIGEO","REGION","PROVINCIA","DISTRITO","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85+","TD_0_14","TD_60_MAS","TD_15_59","TDD_0_14","TDD_15_64","TDD_65_MAS","TDD_PER","TDD_JOVE","TDD_VEJEZ","TASA_BONO","BONO","IND_ENVEJ","RA_POTENCIAL","RA_PADRES","cluster","cluster_nombre"
"1","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS",2611,4093,3618,3569,2795,3271,3503,3646,3004,2611,2007,1799,1454,983,770,526,260,254,10322,4247,26205,10322,27659,2793,47.4167540402762,37.3187750822517,10.0979789580245,67.834894785893,1,41.1451269133889,9.90297171500179,9.77186311787072,3,"Bono demográfico activo"
"2","010102","AMAZONAS","CHACHAPOYAS","ASUNCIÓN",17,12,12,22,26,20,10,18,35,30,24,14,10,7,10,12,4,3,41,46,199,41,209,36,36.8421052631579,19.6172248803828,17.2248803827751,73.0769230769231,1,112.19512195122,5.80555555555556,14.5833333333333,5,"Alta Depedencia por juventud"
"3","010103","AMAZONAS","CHACHAPOYAS","BALSAS",124,84,102,122,87,72,78,92,74,66,65,58,45,35,23,15,3,7,310,128,714,310,759,83,51.7786561264822,40.8432147562582,10.935441370224,65.8854166666667,1,41.2903225806452,9.14457831325301,5.95238095238095,3,"Bono demográfico activo"
"4","010104","AMAZONAS","CHACHAPOYAS","CHETO",43,39,54,65,53,56,51,72,54,57,43,40,35,26,12,11,6,9,136,99,491,136,526,64,38.0228136882129,25.8555133079848,12.1673003802281,72.4517906336088,1,72.7941176470588,8.21875,12.7118644067797,5,"Alta Depedencia por juventud"
"5","010105","AMAZONAS","CHACHAPOYAS","CHILIQUIN",59,47,35,38,49,57,51,54,45,39,37,33,21,20,13,9,9,4,141,76,403,141,424,55,46.2264150943396,33.2547169811321,12.9716981132075,68.3870967741936,1,53.9007092198582,7.70909090909091,14.2857142857143,3,"Bono demográfico activo"
"6","010106","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA",215,160,171,205,155,119,121,141,143,116,88,72,80,49,49,23,20,21,546,242,1160,546,1240,162,57.0967741935484,44.0322580645161,13.0645161290323,63.6550308008214,1,44.3223443223443,7.65432098765432,17.0833333333333,1,"Depedencia juvenil moderada"
"7","010107","AMAZONAS","CHACHAPOYAS","GRANADA",25,28,50,50,38,49,44,61,51,46,27,23,31,9,7,9,4,6,103,66,389,103,420,35,32.8571428571429,24.5238095238095,8.33333333333333,75.2688172043011,1,64.0776699029126,12,12.3456790123457,5,"Alta Depedencia por juventud"
"8","010108","AMAZONAS","CHACHAPOYAS","HUANCAS",62,67,78,96,73,110,89,182,161,109,88,115,104,50,53,32,17,12,207,268,1023,207,1127,164,32.9192546583851,18.3673469387755,14.5519077196096,75.2336448598131,1,129.468599033816,6.8719512195122,9.44625407166124,5,"Alta Depedencia por juventud"
"9","010109","AMAZONAS","CHACHAPOYAS","LA JALCA",465,366,400,423,336,279,264,279,229,196,138,127,96,76,59,46,16,17,1231,310,2271,1231,2367,214,61.0477397549641,52.0067596113224,9.04098014364174,62.093389296957,1,25.182778229082,11.0607476635514,9.14127423822715,1,"Depedencia juvenil moderada"
"10","010110","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA",268,275,334,384,281,202,236,308,291,262,213,170,150,120,96,70,37,33,877,506,2347,877,2497,356,49.3792551061274,35.1221465758911,14.2571085302363,66.9436997319035,1,57.69669327252,7.01404494382022,13.1332082551595,3,"Bono demográfico activo"
